Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100nF,
"C10, C11",1206,2,2.2uF,
C2,CP_EIA-3528-21_Kemet-B_HandSolder,1,22uF,
"C3, C6",1206,2,10uF,
"C4, C8",1206,2,4.7uF,
"C5, C7",1206,2,1uF,
C9,1206,1,0.1uF,
D1,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,
J1,RHDR40W66P254_2X20_5146X500X1105P,1,PC104,
J2,TestPoint_Pad_2.0x2.0mm,1,ESP_PROG,
J3,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,ESP_PROGRAM,
J4,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,i2c,
J5,1040310811,1,104031-0811,
J6,TestPoint_Pad_2.0x2.0mm,1,RST,
"R1, R2, R3, R4",1206,4,50k,
"R5, R6",1206,2,2.2K,
"R7, R8",1206,2,10K,
RESET1,SW_Push_1P1T_XKB_TS-1187A,1,RESET,
SW1,SW_Push_1P1T_XKB_TS-1187A,1,ESP Program,
SW2,SW_Push_1P1T_XKB_TS-1187A,1,WEB_CONF,
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32E,
"U2, U4",SOT-23-5,2,XC6220B331MR,
U3,SOT-23,1,TPS3839DBZ,
V_BAT1,Altech_AK300_1x02_P5.00mm_45-Degree,1,Conn_01x02,
